Id,Title,Authors,Year,Venue,Search_string,v1_decision,v1_reason,v2_decision,v2_reason,URL
21,AgentReport: A Multi-Agent LLM Approach for Automated and Reproducible Bug Report Generation,"Choi, Seojin; Yang, Geunseok",2025,Applied Sciences,A,INCLUDE,"Thỏa mãn IC-P, IC-I — Quá chuẩn, hệ thống sinh và kiểm định tính tái hiện (Reproducible) của Bug Report.",INCLUDE,"Thỏa mãn IC-P, IC-I — Đề xuất hệ thống tự động sinh và tái tạo biểu mẫu thông tin Bug Report chuẩn hóa, tăng chất lượng dữ liệu đầu vào.",https://www.mdpi.com/2076-3417/15/22/11931
22,Agents in the Sandbox: End-to-End Crash Bug Reproduction for Minecraft,"Yapagc?, Eray; Oztürk, Yavuz Alp Sencer; Tüzün, Eray",,,A,INCLUDE,"Thỏa mãn IC-P, IC-I — Tái hiện lỗi crash tự động dựa trên báo cáo dữ liệu đầu vào.",EXCLUDE,"EC-A — Tập trung vào kỹ thuật tái tạo lỗi sập nguồn (Crash Reproduction) tự động trong môi trường sandbox, không tối ưu cấu trúc văn bản lỗi.",https://www.researchgate.net/profile/Eray-Tuezuen/publication/400199843_Agents_in_the_Sandbox_End-to-End_Crash_Bug_Reproduction_for_Minecraft/links/6988a1e1ca66ef6ab99153d3/Agents-in-the-Sandbox-End-to-End-Crash-Bug-Reproduction-for-Minecraft.pdf
26,Aligning Academia with Industry: An Empirical Study of Industrial Needs and Academic Capabilities in AI-Driven Software Engineering,"Yu, Hang; Lai, Yuzhou; Zhang, Li; Lian, Xiaoli; Liu, Fang; Dong, Yanrui; Zhang, Ting; Jin, Zhi; Lo, David",2025,,A,UNSURE,"Khảo sát thực nghiệm diện rộng về nhu cầu AI trong SE, cần check kỹ nội dung.",EXCLUDE,"IC-E — Nghiên cứu thực nghiệm so sánh nhu cầu công nghiệp và học thuật về AI trong SE nói chung, không tập trung vào Bug Report.",http://arxiv.org/abs/2512.15148
27,Amalgamation of Classical and Large Language Models for Duplicate Bug Detection: A Comparative Study.,"Ammu, Sai Venkata Akhil; Sehra, Sukhjit Singh; Sehra, Sumeet Kaur; Singh, Jaiteg",2025,"Computers, Materials & Continua",A,INCLUDE,"Thỏa mãn IC-P, IC-I — Kết hợp LLM để phát hiện các Bug Report trùng lặp (Duplicate Bug Detection).",INCLUDE,"Thỏa mãn IC-P, IC-I — Kết hợp LLM xử lý tương đồng văn bản để phát hiện, phân loại và giảm thiểu các Bug Report trùng lặp.",https://www.techscience.com/cmc/v83n1/60067
31,Magis: Llm-based multi-agent framework for github issue resolution,"Tao, Wei; Zhou, Yucheng; Wang, Yanlin; Zhang, Wenqiang; Zhang, Hongyu; Cheng, Yu",2024,Advances in Neural Information Processing Systems,B,INCLUDE,"Thỏa mãn IC-P, IC-I — Kiến trúc Multi-Agent phối hợp định vị vị trí lỗi từ văn bản Bug Report.",INCLUDE,"Thỏa mãn IC-P, IC-I — Giải quyết vấn đề cấu trúc luồng phối hợp xử lý và chuẩn hóa thông tin tự động cho các GitHub Issue.",https://proceedings.neurips.cc/paper_files/paper/2024/hash/5d1f02132ef51602adf07000ca5b6138-Abstract-Conference.html
32,Mining app reviews for user feedback analysis in requirements engineering: a project report,"Motger de la Encarnación, Joaquim; Oriol Hilari, Marc; Tiessler Aguirre, Max; Franch Gutiérrez, Javier; Marco Gómez, Jordi",2025,"Joint Proceedings of REFSQ 2025 Workshops, Doctoral Symposium, Posters & Tools Track, and Education and Training Track co-located with 31st International Conference on Requirements Engineering: Foundation for Software Quality (REFSQ 2025)",B,INCLUDE,"Thỏa mãn IC-P, IC-I — Tiếp cận đa Agent để tạo lập cấu trúc văn bản báo cáo lỗi tự động.",EXCLUDE,"IC-E — Khai phá đánh giá ứng dụng (App Reviews) để phân tích phản hồi người dùng trong kỹ nghệ yêu cầu, không thuộc phạm vi Bug Report.",https://upcommons.upc.edu/entities/publication/73da45ca-33bd-47ea-8fca-184db1f8fc40
34,MULTIVERSE: Mining Collective Data Science Knowledge from Code on the Web to Suggest Alternative Analysis Approaches,"Merrill, Mike A.; Zhang, Ge; Althoff, Tim",2021,Proceedings of the 27th ACM SIGKDD Conference on Knowledge Discovery & Data Mining,B,INCLUDE,Thỏa mãn IC-P — Tổng quan về phân loại báo cáo lỗi tự động sử dụng xử lý ngôn ngữ tự nhiên.,EXCLUDE,"IC-E — Tập trung khai phá tri thức mã nguồn trên Web để gợi ý phương pháp phân tích, không xử lý cấu trúc báo cáo lỗi.",https://dl.acm.org/doi/10.1145/3447548.3467455
35,Natural Language Processing in Software Engineering: A Systematic Literature Review,"Pacheco, Gabriel Nogueira; Martins, Luiz Eduardo Galv?o; da Silva, Ana Estela Antunes; Lavesson, Niklas; Gorschek, Tony",2025,Journal of Software Engineering Research and Development,B,INCLUDE,Thỏa mãn IC-P — Tác vụ tự động tóm tắt nội dung văn bản Bug Report bằng kỹ thuật NLP.,EXCLUDE,"IC-E — Bài tổng quan hệ thống (SLR) về NLP trong SE nói chung, không chuyên sâu vào cấu trúc thông tin của hệ thống Bug Tracking.",https://journals-sol.sbc.org.br/index.php/jserd/article/view/5097
36,Next-Generation bug reporting: enhancing development with AI automation,"Patil, Avinash; Jadon, Aryan",2025,2025 10th International Conference on Signal Processing and Communication (ICSC),B,INCLUDE,Thỏa mãn IC-P — Khảo sát các kỹ thuật NLP truyền thống dùng để lọc và phát hiện bug trùng lặp.,INCLUDE,"Thỏa mãn IC-P, IC-I — Đề xuất quy trình báo cáo lỗi thế hệ mới áp dụng tự động hóa nhằm nâng cao chất lượng văn bản báo cáo.",https://www.preprints.org/manuscript/202410.2106
37,NLPerturbator: Studying the Robustness of Code LLMs to Natural Language Variations,"Chen, Junkai; Li, Zhenhao; Hu, Xing; Xia, Xin",2026,ACM Transactions on Software Engineering and Methodology,B,INCLUDE,"Thỏa mãn IC-P, IC-I — Nghiên cứu về tính hiệu quả thực tế của Generative AI trong mảng quản lý lỗi.",EXCLUDE,"IC-E — Đánh giá độ bền vững (Robustness) của Code LLM trước biến đổi ngôn ngữ tự nhiên, không thiết kế giải pháp cho Bug Report.",https://dl.acm.org/doi/10.1145/3745764
38,OmniCode: A Benchmark for Evaluating Software Engineering Agents,"Sonwane, Atharv; Tu, Eng-Shen; Lu, Wei-Chung; Beger, Claas; Larsen, Carter; Dhar, Debjit; Alford, Simon; Chen, Rachel; Pattanayak, Ronit; Dang, Tuan Anh; Chen, Guohao; Geng, Gloria; Ellis, Kevin; Dutta, Saikat",2026,,B,INCLUDE,"Thỏa mãn IC-P, IC-E — Nghiên cứu thực nghiệm phân tích sâu về các chỉ số chất lượng của GitHub Issue.",EXCLUDE,"IC-E — Bộ dữ liệu chuẩn đối sánh (Benchmark) để đánh giá năng lực viết mã của AI Agent, không liên quan cấu trúc văn bản báo cáo lỗi.",http://arxiv.org/abs/2602.02262
39,On the Reproducibility of Provenance-based Intrusion Detection that uses Deep Learning,"Abrar, Talha; Shamail, Ahmad; Iqbal, Mohammad Jaffer; Ahmed, Amaan; Abdullah, Muhammad; Shayan, Muhammad; Zaffar, Fareed; Pasquier, Thomas; Eyers, David; Gehani, Ashish",2025,Proceedings of the 3rd ACM Conference on Reproducibility and Replicability,B,INCLUDE,"Thỏa mãn IC-P, IC-I — Tận dụng kỹ nghệ gợi ý (Prompt Engineering) để cải thiện định vị vị trí lỗi từ báo cáo.",EXCLUDE,"IC-E — Nghiên cứu về tính tái tạo của hệ thống phát hiện xâm nhập (Intrusion Detection), hoàn toàn ngoài phạm vi phần mềm/Bug Report.",https://dl.acm.org/doi/10.1145/3736731.3746140
41,On the Use of Agentic Coding: An Empirical Study of Pull Requests on GitHub,"Watanabe, Miku; Li, Hao; Kashiwa, Yutaro; Reid, Brittany; Iida, Hajimu; Hassan, Ahmed E.",2026,ACM Transactions on Software Engineering and Methodology,B,INCLUDE,"Thỏa mãn IC-P, IC-I — Ứng dụng kỹ nghệ gợi ý vào tác vụ tóm tắt nội dung văn bản báo cáo lỗi.",EXCLUDE,"IC-E — Nghiên cứu thực nghiệm về hành vi gửi yêu cầu kéo (Pull Requests) của AI trên GitHub, không tập trung nghiên cứu Bug Report.",https://dl.acm.org/doi/10.1145/3798166
42,Open Source Code Contributions to Global Health: The Case of Antimalarial Drug Discovery,"Turon, Gemma; Tse, Edwin; Qiu, Xin; Todd, Matthew; Duran-Frigola, Miquel",2024,ACS Medicinal Chemistry Letters,B,INCLUDE,"Thỏa mãn IC-P, IC-E — Đánh giá chất lượng của Issue Reports bằng học máy (Làm Baseline đối chiếu rất tốt).",EXCLUDE,"IC-E — Nghiên cứu tình huống về đóng góp mã nguồn mở trong y tế toàn cầu, không liên quan đến bài toán kỹ thuật quản lý báo cáo lỗi.",https://pubs.acs.org/doi/10.1021/acsmedchemlett.4c00131
43,Optimizing LLMs for Microservices Logs Analysis through Prompt Engineering,"Ahmed, Sahar",2025,,B,INCLUDE,"Thỏa mãn IC-P, IC-E — Đánh giá chất lượng Issue Reports nâng cấp lên mô hình học sâu.",EXCLUDE,"IC-E — Tập trung vào tối ưu hóa phân tích log hệ thống vi dịch vụ (Microservices Logs), không nghiên cứu cấu trúc tài liệu văn bản lỗi.",https://www.diva-portal.org/smash/record.jsf?pid=diva2:2001456
44,Partiality and Misconception: Investigating Cultural Representativeness in Text-to-Image Models,"Zhang, Lili; Liao, Xi; Yang, Zaijia; Gao, Baihang; Wang, Chunjie; Yang, Qiuling; Li, Deshun",2024,Proceedings of the CHI Conference on Human Factors in Computing Systems,B,INCLUDE,"Thỏa mãn IC-P, IC-I, IC-E — Trực diện 100% tên đề tài của nhóm: Đánh giá chất lượng Issue Report dùng LLM.",EXCLUDE,"IC-E — Khảo sát tính đại diện văn hóa trong mô hình sinh ảnh (Text-to-Image), hoàn toàn lệch phân khúc nghiên cứu của nhóm.",https://dl.acm.org/doi/10.1145/3613904.3642877
45,"Past, Present, and Future of Bug Tracking in the Generative AI Era","Torun, Utku Boran; Demircan, Mehmet Taha; Gön, Mahmut Furkan; Tüzün, Eray",2026,ACM Transactions on Software Engineering and Methodology,B,INCLUDE,"Thỏa mãn IC-P, IC-E — Các nhân tố quyết định chất lượng của GitHub Issue dưới góc nhìn doanh nghiệp.",INCLUDE,"Thỏa mãn IC-P, IC-I — Nghiên cứu nền tảng phân tích toàn diện và định hình xu hướng quản lý hệ thống Bug Tracking trong kỷ nguyên Generative AI.",https://dl.acm.org/doi/10.1145/3806655
46,Pisco: An Isolation Bug Case Reduction and Deduplication Framework,"Weng, Siyang; Yang, Hongyu; Hu, Zirui; Zhang, Rong; Pan, Zhicheng; Yang, Chengcheng; Zhou, Xuan; Chen, Yuxing; He, Xiaolong; Pan, Anqun",2026,Proceedings of the VLDB Endowment,B,INCLUDE,"Thỏa mãn IC-P, IC-I — Chỉnh sửa và tối ưu lại các báo cáo lỗi không nhất quán/thiếu thông tin bằng LLM.",EXCLUDE,"IC-E — Khung giảm thiểu ca kiểm thử lỗi biệt lập và khử trùng lặp ca kiểm thử, không tập trung vào xử lý chất lượng văn bản Bug Report.",https://www.vldb.org/pvldb/vol19/p1413-weng.pdf
47,Pitfalls in Language Models for Code Intelligence: A Taxonomy and Survey,"She, Xinyu; Liu, Yue; Zhao, Yanjie; He, Yiling; Li, Li; Tantithamthavorn, Chakkrit; Qin, Zhan; Wang, Haoyu",2026,ACM Transactions on Software Engineering and Methodology,B,INCLUDE,"Thỏa mãn IC-P, IC-I — Tác vụ tự động tái hiện lỗi crash từ thông tin mô tả trong văn bản báo cáo bằng LLM.",EXCLUDE,"IC-E — Hệ thống hóa và tổng quan về các bẫy lỗi (Pitfalls) của mô hình ngôn ngữ trong thông minh mã nguồn, không tập trung vào báo cáo lỗi.",https://dl.acm.org/doi/10.1145/3748647
49,Preliminary evaluation of a guided usability defect report form,"Yusop, Nor Shahida Mohamad; Grundy, John; Schneider, Jean-Guy; Vasa, Rajesh",2018,2018 25th Australasian Software Engineering Conference (ASWEC),B,INCLUDE,"Thỏa mãn IC-Y, IC-I — Bản ghi trùng lặp của dòng 215, giữ lại quét cơ sở lý thuyết tổng quan về LLM trong SE.",INCLUDE,"Thỏa mãn IC-P, IC-I — Đánh giá thực nghiệm biểu mẫu cải tiến định hướng người dùng viết văn bản defect report chất lượng cao và rõ ràng.",https://nzjohng.github.io/publications/papers/aswec2018_2.pdf
50,Process-aware evaluation of generative AI in software engineering: a comprehensive platform and comparative study,"Czy?ewski, Adam; Poniszewska-Mara?da, Aneta; Czy?ewski, Piotr",2025,,B,UNSURE,"Phân tích nguyên nhân cốt lõi bằng LLM, cần kiểm tra Abstract xem đầu vào có phải Bug Report text không.",EXCLUDE,"IC-E — Nền tảng đánh giá quy trình tổng thể của AI tạo sinh trong kỹ nghệ phần mềm, không chuyên sâu vào bài toán Bug Report.",https://aisel.aisnet.org/sigdsa2025/82/
51,Progressive Code Integration for Abstractive Bug Report Summarization,"Karim, Shaira Sadia; Rahim, Abrar Mahmud; Alam, Lamia; Tashdeed, Ishmam; Lota, Lutfun Nahar; Kamal, Md Abu Raihan M.; Hossain, Md Azam",2025,arXiv preprint arXiv:2512.00325,B,INCLUDE,"Thỏa mãn IC-P — Bản ghi lặp dữ liệu của bài 118, giữ lại kiểm tra cấu trúc tập dữ liệu định vị lỗi.",INCLUDE,"Thỏa mãn IC-P, IC-I — Nghiên cứu sâu kỹ thuật tóm tắt văn bản (Abstractive Summarization) giúp làm gọn cấu trúc thông tin cho Bug Report lớn.",https://arxiv.org/abs/2512.00325
52,Prompting Is All You Need: Automated Android Bug Replay with Large Language Models,"Feng, Sidong; Chen, Chunyang",2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,B,INCLUDE,"Thỏa mãn IC-P, IC-I — Bài tổng quan về ứng dụng LLM trong hệ sinh thái quản lý lỗi phần mềm.",EXCLUDE,"EC-A — Tập trung vào tự động tái hiện lỗi ứng dụng Android (Bug Replay), không thuộc phạm vi xử lý cấu trúc văn bản báo cáo lỗi.",https://dl.acm.org/doi/10.1145/3597503.3608137
53,Prompting is Helpful: Automated Deep Learning Framework Bug Replay with Large Language Models,"Sun, Jinshuo; Wang, Yi; Du, Xiaoting",2025,2025 IEEE 36th International Symposium on Software Reliability Engineering Workshops (ISSREW),B,INCLUDE,"Thỏa mãn IC-P, IC-I — Tổng khảo cứu về việc giải quyết các báo cáo sự cố bằng mô hình ngôn ngữ lớn.",EXCLUDE,"EC-A — Thuộc nhóm tự động tái hiện lỗi phần mềm (Bug Replay) cho các thư viện Deep Learning, không xử lý biểu mẫu văn bản lỗi.",https://ieeexplore.ieee.org/abstract/document/11262407/
55,RCEGen: A Generative Approach for Automated Root Cause Analysis Using Large Language Models (LLMs),"Mollik, Rubel Hassan; Datta, Arup; Mollah, Anamul Haque; Aljedaani, Wajdi",2025,Software,B,INCLUDE,Thỏa mãn IC-P — Thuật toán SZZ dùng để định vị dòng code gây lỗi dựa trên thông tin định vết từ Bug tracker.,INCLUDE,"Thỏa mãn IC-P, IC-I — Trích xuất và sinh báo cáo nguyên nhân gốc rễ (Root Cause) dựa trên việc tổng hợp và phân tích thông tin văn bản lỗi.",https://www.mdpi.com/2674-113X/4/4/29
56,ReAPR: Automatic program repair via retrieval-augmented large language models,"Liu, Zixin; Du, Xiaozhi; Liu, Hairui",2025,Software Quality Journal,B,INCLUDE,"Thỏa mãn IC-P, IC-I — Cải tiến thuật toán định vị lỗi SZZ bằng cách tích hợp thêm sức mạnh của LLM.",EXCLUDE,"EC-A — Nghiên cứu tập trung vào tự động sửa lỗi mã nguồn (Automatic Program Repair) bằng kỹ thuật RAG, lệch phạm vi cấu trúc Bug Report.",https://link.springer.com/10.1007/s11219-025-09728-1
